4,0
5,1
8,3
6,6
4,7
3,8
16,14
19,19
14,21
3,29
4,30
16,31
10,32
8,33
16,34
0,36
16,38
3,40
8,41
2,43
19,46
18,48
4,53
5,56
9,60
9,61
8,62
5,63
16,64
9,66
5,69
16,75
13,77
2,79
19,82
3,83
4,85
11,87
0,96
5,97
6,100
10,101
10,104
8,109
2,110
4,112
19,116
8,120
8,121
16,123
4,125
16,127
16,128
10,129
8,133
4,134
14,135
19,142
19,143
11,144
10,146
2,149
2,153
2,157
4,162
8,163
8,168
8,170
8,173
5,174
19,178
19,180
9,181
14,184
8,185
1,186
8,187
8,188
2,192
1,193
7,195
8,199
1,200
19,202
2,209
3,213
4,215
6,219
16,221
10,224
7,226
16,227
10,230
10,235
16,236
2,237
5,245
10,246
8,248
11,251
8,256
2,257
2,259
13,260
19,263
8,264
8,265
3,266
13,268
13,270
16,272
16,274
9,275
16,277
16,280
8,281
2,283
4,284
16,285
16,286
8,287
3,288
16,289
10,290
4,292
8,293
4,294
16,295
16,297
18,298
13,302
8,307
6,310
4,319
16,321
8,323
16,325
19,326
4,327
5,330
19,332
16,339
8,342
4,343
8,344
19,348
8,349
0,353
19,357
16,358
8,360
19,361
19,365
16,366
19,367
19,368
16,369
5,373
1,374
16,379
16,382
10,389
5,392
4,395
4,396
19,397
10,398
2,400
2,407
4,411
4,413
4,414
16,415
16,417
16,419
16,422
4,428
16,429
2,430
2,431
5,432
2,435
16,437
8,438
19,444
2,445
10,447
6,448
16,449
6,454
5,457
3,458
16,465
15,469
16,471
16,472
8,474
16,475
16,476
8,479
4,480
4,483
19,489
16,491
8,492
19,493
4,494
16,498
16,502
4,503
16,505
4,507
16,509
4,511
16,512
4,513
16,514
2,516
16,520
3,524
5,525
16,526
16,528
16,533
4,536
16,537
16,539
16,540
3,541
16,543
3,545
16,546
3,547
2,548
16,551
16,552
19,554
16,558
16,559
10,565
16,568
13,569
16,571
10,574
16,576
16,578
3,581
3,582
16,583
16,588
19,590
10,591
2,592
9,598
19,602
5,603
16,604
16,605
4,607
13,608
10,609
16,611
10,613
7,614
16,616
16,617
13,619
2,621
19,624
16,626
13,628
4,632
2,636
16,639
16,640
16,645
10,651
4,653
13,654
16,656
4,657
16,660
16,661
16,662
16,665
18,666
4,670
16,672
4,674
16,675
16,676
16,678
5,684
16,687
16,690
16,693
9,696
8,699
16,706
19,708
5,709
16,713
16,714
16,715
13,716
16,719
16,720
16,721
16,722
16,724
18,726
16,729
16,730
19,732
4,734
19,736
19,737
16,738
6,741
16,743
4,744
16,745
5,747
16,748
16,750
16,752
16,753
16,756
16,757
4,758
2,760
16,762
16,763
16,768
16,771
16,772
16,774
16,775
3,776
5,779
4,784
13,785
16,791
16,799
16,801
3,802
16,805
16,806
7,815
10,816
5,817
5,818
5,820
16,821
10,822
5,823
5,831
7,834
16,835
10,836
14,837
10,839
10,840
10,842
10,844
10,845
4,846
9,848
16,850
9,851
16,853
9,854
16,855
19,856
3,861
10,863
16,864
2,874
2,878
3,880
16,882
8,888
9,889
10,891
4,896
6,897
19,900
2,905
2,908
16,909
2,910
19,911
16,913
9,915
10,916
2,917
2,918
16,921
16,926
9,931
9,933
19,938
5,940
16,942
16,943
5,945
3,946
16,949
16,951
16,952
16,957
10,964
5,965
16,966
16,970
3,972
13,979
2,980
4,982
16,984
6,988
2,993
6,996
9,997
19,999
4,1000
8,1001
1,1004
10,1006
18,1008
8,1009
10,1011
19,1013
9,1016
7,1017
4,1020
10,1021
10,1022
8,1023
11,1025
10,1026
4,1028
10,1035
8,1036
16,1037
16,1041
16,1042
5,1045
2,1052
16,1053
16,1055
2,1056
16,1057
16,1058
8,1059
2,1061
10,1062
2,1067
9,1069
19,1070
16,1073
9,1074
4,1076
2,1082
8,1084
10,1086
16,1087
2,1090
16,1092
16,1094
11,1095
10,1097
16,1098
16,1102
4,1105
16,1106
16,1109
5,1111
7,1113
8,1114
2,1121
16,1126
16,1127
9,1128
5,1129
16,1132
16,1133
16,1137
5,1139
16,1140
16,1141
8,1142
4,1144
16,1145
10,1148
2,1149
16,1150
16,1153
16,1154
16,1156
16,1158
4,1162
11,1164
9,1165
16,1166
6,1167
4,1168
16,1169
16,1170
16,1171
16,1172
10,1173
10,1175
10,1177
16,1178
8,1180
6,1185
5,1187
2,1192
16,1193
2,1194
4,1196
6,1197
16,1199
16,1204
16,1205
8,1206
10,1210
16,1223
16,1224
11,1227
16,1231
16,1232
16,1234
16,1236
18,1237
16,1238
16,1240
16,1241
5,1242
16,1246
16,1249
16,1251
16,1252
16,1253
16,1256
16,1259
8,1263
5,1266
2,1267
9,1268
16,1270
7,1271
4,1277
11,1278
16,1280
16,1283
15,1285
4,1287
4,1290
16,1291
10,1292
11,1297
16,1298
16,1299
9,1300
2,1301
16,1302
15,1303
4,1306
5,1308
16,1311
10,1314
16,1319
16,1320
16,1324
16,1328
16,1329
7,1331
16,1333
10,1334
16,1341
16,1342
2,1347
7,1349
10,1351
9,1360
9,1364
5,1367
3,1368
8,1370
8,1371
13,1375
4,1377
7,1378
19,1382
8,1383
5,1389
4,1394
10,1396
13,1397
3,1400
2,1404
2,1407
11,1413
3,1414
19,1415
10,1416
10,1417
8,1423
16,1424
14,1425
16,1426
8,1427
4,1428
16,1429
16,1432
5,1433
16,1436
16,1438
17,1439
5,1442
7,1446
19,1447
16,1448
10,1451
8,1454
19,1456
8,1459
7,1462
5,1467
10,1473
11,1478
3,1481
13,1484
2,1485
6,1489
4,1490
14,1491
19,1493
7,1494
2,1496
9,1497
8,1498
8,1499
18,1500
10,1502
13,1504
9,1505
16,1506
8,1507
13,1508
4,1510
5,1511
10,1513
8,1514
9,1515
8,1516
10,1520
4,1521
10,1522
8,1523
16,1525
13,1527
8,1528
10,1529
16,1533
16,1536
10,1537
9,1539
16,1542
4,1543
4,1544
4,1546
10,1548
10,1549
5,1550
4,1552
10,1556
8,1557
5,1562
9,1563
2,1566
9,1571
4,1574
16,1575
15,1577
10,1579
8,1582
9,1586
13,1587
7,1591
16,1593
